,ID_hecho,ROL,SEXO,EDAD,FECHA_FALLECIMIENTO
0,2016-0001,CONDUCTOR,MASCULINO,19.0,2016-01-01 00:00:00
1,2016-0002,CONDUCTOR,MASCULINO,70.0,2016-01-02 00:00:00
2,2016-0003,CONDUCTOR,MASCULINO,30.0,2016-01-03 00:00:00
3,2016-0004,CONDUCTOR,MASCULINO,18.0,SD
4,2016-0005,CONDUCTOR,MASCULINO,29.0,2016-02-01 00:00:00
5,2016-0008,CONDUCTOR,MASCULINO,30.0,2016-01-24 00:00:00
6,2016-0009,PASAJERO_ACOMPAÑANTE,MASCULINO,29.0,2016-01-26 00:00:00
7,2016-0010,CONDUCTOR,MASCULINO,18.0,2016-01-29 00:00:00
8,2016-0012,CONDUCTOR,MASCULINO,22.0,2016-02-08 00:00:00
9,2016-0013,PEATON,MASCULINO,16.0,2016-02-10 00:00:00
10,2016-0015,PEATON,FEMENINO,16.0,2016-02-14 00:00:00
11,2016-0016,PASAJERO_ACOMPAÑANTE,FEMENINO,19.0,2016-02-14 00:00:00
12,2016-0017,PEATON,MASCULINO,59.0,2016-02-16 00:00:00
13,2016-0019,PEATON,FEMENINO,65.0,2016-02-17 00:00:00
14,2016-0020,PEATON,MASCULINO,59.0,2016-03-02 00:00:00
15,2016-0021,CONDUCTOR,MASCULINO,34.0,2016-02-17 00:00:00
16,2016-0022,PASAJERO_ACOMPAÑANTE,MASCULINO,41.0,SD
17,2016-0025,PASAJERO_ACOMPAÑANTE,MASCULINO,34.0,2016-02-28 00:00:00
18,2016-0026,CONDUCTOR,MASCULINO,30.0,2016-03-04 00:00:00
19,2016-0027,PASAJERO_ACOMPAÑANTE,MASCULINO,34.0,SD
20,2016-0028,PEATON,MASCULINO,50.0,2016-03-02 00:00:00
21,2016-0029,PEATON,MASCULINO,38.0,2016-03-04 00:00:00
22,2016-0031,CONDUCTOR,MASCULINO,21.0,SD
23,2016-0034,PEATON,MASCULINO,52.0,2016-03-12 00:00:00
24,2016-0035,CONDUCTOR,MASCULINO,34.0,2016-03-13 00:00:00
